repository,T_total_hours,T_downtime_hours,availability,N_releases,N_bugs,N_total_builds,N_failed_builds,bug_error_rate,build_error_rate,N_failures,mtbf_hours
SimonMarquis/Android-SecretCodes,21908.72,0.0,100.0,6,0,0,0,0.0,0.0,0,
PedroCarrillo/Expense-Tracker-App,15737.86,0.0,100.0,2,0,0,0,0.0,0.0,0,
taiko000/TAsteroids,29276.47,0.0,100.0,4,0,0,0,0.0,0.0,0,
chteuchteu/Blogmotion-Android,5325.49,0.0,100.0,4,0,0,0,0.0,0.0,0,
StepicOrg/stepik-android,53571.04,0.0,100.0,196,0,0,0,0.0,0.0,0,
icasdri/Mather,3559.61,3491.08,1.9253,7,4,0,0,0.571429,0.0,4,889.9
adithya321/Companion-for-Band,2103.88,11.03,99.4756,9,1,0,0,0.111111,0.0,1,2103.88
Akusari/SD-Booster,2826.87,2826.87,0.0,2,4,0,0,2.0,0.0,4,706.72
SimonMarquis/FCM-toolbox,39039.33,0.0,100.0,14,0,1672,19,0.0,0.011364,19,2054.7
m039/beacon-keeper,1652.98,0.0,100.0,3,0,0,0,0.0,0.0,0,
rebus007/HeaderView,28001.75,0.0,100.0,12,0,0,0,0.0,0.0,0,
robert7k/sipswitch,60790.57,5746.59,90.5469,2,1,0,0,0.5,0.0,1,60790.57
JonathanImperato/Service-Notes,195.01,0.0,100.0,2,0,0,0,0.0,0.0,0,
carloscorreia94/AEISTMobileDROID,3214.9,0.0,100.0,2,0,0,0,0.0,0.0,0,
MrGussio/EarthInvadersGDX,3721.65,0.0,100.0,5,0,0,0,0.0,0.0,0,
thermatk/HSEWifi,20677.87,1630.54,92.1146,6,4,0,0,0.666667,0.0,4,5169.47
PowerInside/syncplayer,33137.34,394.46,98.8096,5,5,0,0,1.0,0.0,5,6627.47
dhis2/dhis2-android-trackercapture,24350.32,24350.32,0.0,24,24,0,0,1.0,0.0,24,1014.6
Mygod/InvisibleWidgetPlus,10077.14,0.0,100.0,4,0,0,0,0.0,0.0,0,
intxcc/OwnTrack,53.52,0.0,100.0,2,0,0,0,0.0,0.0,0,
enricocid/Battery-Live,5108.76,0.0,100.0,13,0,0,0,0.0,0.0,0,
Raenar4k/Simple15,431.08,0.0,100.0,5,0,0,0,0.0,0.0,0,
wminner/ndnMouse,484.71,0.0,100.0,3,0,0,0,0.0,0.0,0,
derqurps/noefinderlein,8230.6,0.0,100.0,9,0,0,0,0.0,0.0,0,
bubblegumdevs/traceratops,118.59,0.0,100.0,2,0,0,0,0.0,0.0,0,
Iktwo/QuteLauncher,34107.51,0.0,100.0,7,0,0,0,0.0,0.0,0,
pR0Ps/LocationShare,7990.06,7990.06,0.0,3,1,0,0,0.333333,0.0,1,7990.06
Garthi/Running-Leaderboard,9899.42,116.26,98.8256,3,3,0,0,1.0,0.0,3,3299.81
greenfrvr/rubber-loader,2559.71,0.0,100.0,4,0,0,0,0.0,0.0,0,
KonradIT/goprohero,2806.06,898.14,67.9928,20,1,0,0,0.05,0.0,1,2806.06
M66B/XPrivacyInstaller,811.27,0.0,100.0,11,0,0,0,0.0,0.0,0,
arpruss/raspberryjam-pe,713.34,0.0,100.0,2,0,0,0,0.0,0.0,0,
kuastw/KUAS-Wifi-Auto-Login,15377.73,0.0,100.0,20,0,0,0,0.0,0.0,0,
subinkrishna/CircularImageView,4733.17,0.0,100.0,6,0,0,0,0.0,0.0,0,
7kfpun/BitcoinReactNative,106.32,0.0,100.0,3,0,0,0,0.0,0.0,0,
ngageoint/anti-piracy-android-app,29571.42,0.0,100.0,5,0,0,0,0.0,0.0,0,
amatskevich/CalendarOfFactory,45966.06,0.0,100.0,12,0,0,0,0.0,0.0,0,
lenidh/holochron,1276.76,0.0,100.0,2,0,0,0,0.0,0.0,0,
ml1nk/csr-generator,13537.26,0.0,100.0,16,0,0,0,0.0,0.0,0,
jrodalo/copit,9981.66,0.0,100.0,7,0,0,0,0.0,0.0,0,
tomszilagyi/svhu1972,1681.04,0.0,100.0,2,0,0,0,0.0,0.0,0,
Manabu-GT/EtsyBlur,24160.58,1420.76,94.1195,5,2,0,0,0.4,0.0,2,12080.29
