repository,total_releases,failed_releases,change_failure_rate_percent
corenting/EDCompanion,63,0,0.0
Kaljurand/K6nele,25,0,0.0
luoyuan800/NeverEnd,2,2,100.0
j4velin/Pedometer,3,0,0.0
philliphsu/ClockPlus,5,0,0.0
mtransitapps/ca-windsor-transit-bus-android,1,0,0.0
TruckMuncher/TruckMuncher-Android,2,0,0.0
fenimore/DemocracyDroid,16,0,0.0
mtransitapps/ca-ottawa-oc-transpo-bus-android,1,0,0.0
EmmanuelMess/Simple-Accounting,20,1,5.0
AdguardTeam/ContentBlocker,38,16,42.11
rsteckler/unbounce-android,10,6,60.0
henryco/OPalette,1,0,0.0
plusCubed/plusTimer,21,5,23.81
melange-app/melange,2,0,0.0
mtransitapps/ca-edmonton-ets-bus-android,1,0,0.0
wench/Ao3-Tracker,18,0,0.0
1fish2/BBQTimer,7,0,0.0
murgo/IrssiNotifier,3,0,0.0
UpperSetting/DotNetOpenServerSDK,2,0,0.0
Calsign/APDE,19,5,26.32
StephaneBg/ScoreIt,16,0,0.0
kwmt/GitHubSearch,5,1,20.0
vycius/NMAkademija,3,0,0.0
javaBin/appZone,1,0,0.0
st1hy/Red-Calorie,11,3,27.27
ligi/SurvivalManual,1,0,0.0
indianpoptart/RadioControl,88,22,25.0
kiwiandroiddev/starcraft-2-build-player,3,1,33.33
sandy-8925/Checklist,1,0,0.0
glodanif/BluetoothChat,36,0,0.0
ObjectiveTruth/UoitDCLibraryBooking,14,3,21.43
bitcraze/crazyflie-android-client,16,1,6.25
by-syk/NanoIconPack,7,0,0.0
dinosaurwithakatana/hacker-news-android,13,0,0.0
caarmen/nounours-android,21,0,0.0
alexvasilkov/GestureViews,16,0,0.0
physphil/UnitConverterUltimate,20,1,5.0
tfg13/LanXchange,1,0,0.0
Power-Switch/PowerSwitch_Android,2,0,0.0
mtransitapps/ca-edmonton-ets-train-android,1,0,0.0
ubx/SkyLinesTracker,1,0,0.0
alashow/datmusic-android,28,0,0.0
Webtrekk/webtrekk-android-sdk,9,0,0.0
Digitopia/Gamult,9,3,33.33
mpiannucci/HackWinds-Android,54,11,20.37
kollerlukas/Camera-Roll-Android-App,18,7,38.89
keyboardsurfer/Crouton,5,3,60.0
drpout/boilr,9,5,55.56
Team980/ThunderScout-Android,19,0,0.0
Yubico/yubioath-android,9,0,0.0
rmake/cor-engine,7,0,0.0
SaschaWillems/VulkanCapsViewer,28,1,3.57
enricocid/iven-feed-reader,42,0,0.0
blinskey/greek-reference,22,0,0.0
systemallica/ValenBisi,28,0,0.0
Mygod/nju-portal-login-android,31,4,12.9
futurice/meeting-room-tablet,8,0,0.0
msimonides/homerplayer,34,0,0.0
RCasatta/EternityWallAndroid,4,1,25.0
asafge/NewsBlurPlus,6,2,33.33
CTC-CompTech/delivery,2,0,0.0
steve1rm/busbymovies,5,0,0.0
NerdCats/SwatKat,5,0,0.0
sheimi/SGit,4,3,75.0
Neraud/PADListener,42,19,45.24
ronaldsmartin/20twenty20,6,0,0.0
KlubJagiellonski/pola-android,14,4,28.57
75py/Aplin,27,4,14.81
athimel/mh-dla-notifier,3,0,0.0
qdeconinck/lln-campus,2,0,0.0
CherokeeLanguage/cll1-gdx,5,0,0.0
nkming2/power-menu,17,1,5.88
kort/kort-native,3,0,0.0
mtransitapps/ca-ottawa-oc-transpo-train-android,1,0,0.0
tobykurien/WebApps,42,6,14.29
djschilling/sopa,10,2,20.0
tzulberti/archery-training,6,4,66.67
itkach/aard2-android,51,0,0.0
project-icarus/icarus-atc,1,0,0.0
pedrovgs/DraggablePanel,10,3,30.0
gina-alaska/gina-puffinfeeder-android-viewer,2,0,0.0
